Index Name,Date,Open,High,Low,Close
NIFTY SME EMERGE,17-Apr-25,-,-,-,13645.91
NIFTY SME EMERGE,16-Apr-25,-,-,-,13542.43
NIFTY SME EMERGE,15-Apr-25,-,-,-,13548.09
NIFTY SME EMERGE,11-Apr-25,-,-,-,13187.89
NIFTY SME EMERGE,09-Apr-25,-,-,-,12900.27
NIFTY SME EMERGE,08-Apr-25,-,-,-,12899.2
NIFTY SME EMERGE,07-Apr-25,-,-,-,12631.99
NIFTY SME EMERGE,04-Apr-25,-,-,-,13171.18
NIFTY SME EMERGE,03-Apr-25,-,-,-,13395.22
NIFTY SME EMERGE,02-Apr-25,-,-,-,13103.43
NIFTY SME EMERGE,01-Apr-25,-,-,-,12913.6
NIFTY SME EMERGE,28-Mar-25,-,-,-,12666.01
NIFTY SME EMERGE,27-Mar-25,-,-,-,12574.19
NIFTY SME EMERGE,26-Mar-25,-,-,-,12731.58
NIFTY SME EMERGE,25-Mar-25,-,-,-,12848.13
NIFTY SME EMERGE,24-Mar-25,-,-,-,13021.72
NIFTY SME EMERGE,21-Mar-25,-,-,-,12816.43
NIFTY SME EMERGE,20-Mar-25,-,-,-,12577.45
NIFTY SME EMERGE,19-Mar-25,-,-,-,12410.32
NIFTY SME EMERGE,18-Mar-25,-,-,-,12076.52
NIFTY SME EMERGE,17-Mar-25,-,-,-,11930.1
NIFTY SME EMERGE,13-Mar-25,-,-,-,12194.48
NIFTY SME EMERGE,12-Mar-25,-,-,-,12318.06
NIFTY SME EMERGE,11-Mar-25,-,-,-,12455.69
NIFTY SME EMERGE,10-Mar-25,-,-,-,12607.85
NIFTY SME EMERGE,07-Mar-25,-,-,-,12952.24
NIFTY SME EMERGE,06-Mar-25,-,-,-,12833.02
NIFTY SME EMERGE,05-Mar-25,-,-,-,12567.01
NIFTY SME EMERGE,04-Mar-25,-,-,-,12299.11
NIFTY SME EMERGE,03-Mar-25,-,-,-,12280.51
NIFTY SME EMERGE,28-Feb-25,-,-,-,12665.56
NIFTY SME EMERGE,27-Feb-25,-,-,-,13067.22
NIFTY SME EMERGE,25-Feb-25,-,-,-,13395.06
NIFTY SME EMERGE,24-Feb-25,-,-,-,13357.65
NIFTY SME EMERGE,21-Feb-25,-,-,-,13469.01
NIFTY SME EMERGE,20-Feb-25,-,-,-,13437.6
NIFTY SME EMERGE,19-Feb-25,-,-,-,13244.71
NIFTY SME EMERGE,18-Feb-25,-,-,-,12947.14
NIFTY SME EMERGE,17-Feb-25,-,-,-,13322.42
NIFTY SME EMERGE,14-Feb-25,-,-,-,13683.35
NIFTY SME EMERGE,13-Feb-25,-,-,-,14116.29
NIFTY SME EMERGE,12-Feb-25,-,-,-,14010.92
NIFTY SME EMERGE,11-Feb-25,-,-,-,14032.19
NIFTY SME EMERGE,10-Feb-25,-,-,-,14534.56
NIFTY SME EMERGE,07-Feb-25,-,-,-,14971.23
NIFTY SME EMERGE,06-Feb-25,-,-,-,15036.64
NIFTY SME EMERGE,05-Feb-25,-,-,-,14947.49
NIFTY SME EMERGE,04-Feb-25,-,-,-,14717.54
NIFTY SME EMERGE,03-Feb-25,-,-,-,14615.16
NIFTY SME EMERGE,01-Feb-25,-,-,-,14965.29
NIFTY SME EMERGE,31-Jan-25,-,-,-,15031.78
NIFTY SME EMERGE,30-Jan-25,-,-,-,14921.06
NIFTY SME EMERGE,29-Jan-25,-,-,-,14952.16
NIFTY SME EMERGE,28-Jan-25,-,-,-,14515.19
NIFTY SME EMERGE,27-Jan-25,-,-,-,14726.41
NIFTY SME EMERGE,24-Jan-25,-,-,-,15410.37
NIFTY SME EMERGE,23-Jan-25,-,-,-,15772.33
NIFTY SME EMERGE,22-Jan-25,-,-,-,15797.43
NIFTY SME EMERGE,21-Jan-25,-,-,-,16116.48
NIFTY SME EMERGE,20-Jan-25,-,-,-,16321.43
NIFTY SME EMERGE,17-Jan-25,-,-,-,16263.62
NIFTY SME EMERGE,16-Jan-25,-,-,-,16297.82
NIFTY SME EMERGE,15-Jan-25,-,-,-,16098.9
NIFTY SME EMERGE,14-Jan-25,-,-,-,16008.28
NIFTY SME EMERGE,13-Jan-25,-,-,-,15872.67
NIFTY SME EMERGE,10-Jan-25,-,-,-,16497.21
NIFTY SME EMERGE,09-Jan-25,-,-,-,16790.08
NIFTY SME EMERGE,08-Jan-25,-,-,-,16911.91
NIFTY SME EMERGE,07-Jan-25,-,-,-,16911.98
NIFTY SME EMERGE,06-Jan-25,-,-,-,16694.53
NIFTY SME EMERGE,03-Jan-25,-,-,-,17125.48
NIFTY SME EMERGE,02-Jan-25,-,-,-,16908.26
NIFTY SME EMERGE,01-Jan-25,-,-,-,16821.94
NIFTY SME EMERGE,31-Dec-24,-,-,-,16606.35
NIFTY SME EMERGE,30-Dec-24,-,-,-,16541.99
NIFTY SME EMERGE,27-Dec-24,-,-,-,16680.17
NIFTY SME EMERGE,26-Dec-24,-,-,-,16654.92
NIFTY SME EMERGE,24-Dec-24,-,-,-,16709.28
NIFTY SME EMERGE,23-Dec-24,-,-,-,16719.16
NIFTY SME EMERGE,20-Dec-24,-,-,-,16799.24
NIFTY SME EMERGE,19-Dec-24,-,-,-,17078.96
NIFTY SME EMERGE,18-Dec-24,-,-,-,17059.77
NIFTY SME EMERGE,17-Dec-24,-,-,-,17223.66
NIFTY SME EMERGE,16-Dec-24,-,-,-,17046.24
NIFTY SME EMERGE,13-Dec-24,-,-,-,16966.61
NIFTY SME EMERGE,12-Dec-24,-,-,-,16990.15
NIFTY SME EMERGE,11-Dec-24,-,-,-,16983.96
NIFTY SME EMERGE,10-Dec-24,-,-,-,16947.6
NIFTY SME EMERGE,09-Dec-24,-,-,-,16985.68
NIFTY SME EMERGE,06-Dec-24,-,-,-,16933.6
NIFTY SME EMERGE,05-Dec-24,-,-,-,16718.98
NIFTY SME EMERGE,04-Dec-24,-,-,-,16606.1
NIFTY SME EMERGE,03-Dec-24,-,-,-,16443.2
NIFTY SME EMERGE,02-Dec-24,-,-,-,16141.78
NIFTY SME EMERGE,29-Nov-24,-,-,-,16089.22
